Uid,Hashed Id,Total Hours,Total Price,Unit Price,Package,Installments,Crm Deal Id,Discount,Stripe Url,Stripe Customer Id,Extra Student,Active,Created At,Last Updated,Booking Date,Upsell
219,d740c0b8125abe0449ba7afbbc8212c11afd95ab728d9c16d9981031,48,13872.0,289.0,6-months-289,6,378710000016037701,,toptutors.dk/order/d740c0b8125abe0449ba7afbbc8212c11afd95ab728d9c16d9981031,cus_Nh6MNNlEdYYcZM,,False,2023-04-06 08:44:48.648179,2023-04-06 08:44:48.648215,,False
225,fcb61a3216a84605b8887807f485dca272d84edcc7f51d81e6b785b1,8,3192.0,399.0,single-399,1,378710000016685299,,toptutors.dk/order/fcb61a3216a84605b8887807f485dca272d84edcc7f51d81e6b785b1,cus_NkP0svdq6Ppw3a,,False,2023-04-13 07:03:19.430356,2023-04-13 07:03:19.430396,,False
221,9510e11545dd5b7d30e59fc23dc250c43c40903278085a60a0f20ba2,24,7416.0,309.0,3-months-309,3,378710000016285625,,toptutors.dk/order/9510e11545dd5b7d30e59fc23dc250c43c40903278085a60a0f20ba2,cus_NjhA1LzJbWa0qV,,False,2023-04-13 07:03:19.430356,2023-04-13 07:03:19.430396,,False
224,4697bb38fc16740e641316625b1f8c000ff01cc3175803c282c7be13,144,32976.0,229.0,18-months-229,18,378710000016728317,,toptutors.dk/order/4697bb38fc16740e641316625b1f8c000ff01cc3175803c282c7be13,cus_LcznfzYYJmCIkl,,True,2023-04-13 07:03:19.430356,2023-04-13 07:03:19.430396,,False
227,f4dbb41ea70e5751d50c52203ecbb8d97a6c2214e09a95d277aeffe9,144,32976.0,229.0,18-months-229,18,378710000016612494,,toptutors.dk/order/f4dbb41ea70e5751d50c52203ecbb8d97a6c2214e09a95d277aeffe9,cus_NkTJj6JJKuSlba,,True,2023-04-13 07:03:19.430356,2023-04-13 07:03:19.430396,,False
222,0ab32c03ba8069a8a432bb5e5bfc9bd111871fadac352b0c9d5f35ad,144,32976.0,229.0,18-months-229,18,378710000016333059,,toptutors.dk/order/0ab32c03ba8069a8a432bb5e5bfc9bd111871fadac352b0c9d5f35ad,cus_NjhrzDsz5RGgwz,,False,2023-04-13 07:03:19.430356,2023-04-13 07:03:19.430396,,False
238,a2a8d7a2d40ad59cf262ab620a76093b929731579d215a90e900f973,24,7416.0,309.0,3-months-309,3,378710000016757842,,toptutors.dk/order/a2a8d7a2d40ad59cf262ab620a76093b929731579d215a90e900f973,cus_Nn6xxH3Ns9M1Sy,,False,2023-04-13 07:03:19.430356,2023-04-13 07:03:19.430396,,False
229,4d274e1449044c889612dde032c54d4c5e3394d30b0e41997e841346,24,7416.0,309.0,3-months-309,3,378710000016607004,,toptutors.dk/order/4d274e1449044c889612dde032c54d4c5e3394d30b0e41997e841346,cus_NklqfOQWlsVurY,,False,2023-04-13 07:03:19.430356,2023-04-13 07:03:19.430396,,False
236,9ece2c4399546fc9219514e6582f7083e12f92529a6ebee7002aa218,48,13872.0,289.0,6-months-289,6,378710000016773905,,toptutors.dk/order/9ece2c4399546fc9219514e6582f7083e12f92529a6ebee7002aa218,cus_Nn54zsGypOuRIh,,True,2023-04-13 07:03:19.430356,2023-04-13 07:03:19.430396,,False
228,7307a93ebb223bb9ac880685a5db482f763a673e1b771700e3e758dd,24,7416.0,309.0,3-months-309,3,378710000016612494,,toptutors.dk/order/7307a93ebb223bb9ac880685a5db482f763a673e1b771700e3e758dd,cus_NkTJj6JJKuSlba,,False,2023-04-13 07:03:19.430356,2023-04-13 07:03:19.430396,,False
